size,retriever,recall@1,recall@10,mrr@10,p50_ms,p95_ms,p99_ms,ram_mb,embed_throughput
1000,numpy,0.97,1.0,0.9818,0.179,0.395,0.551,366.6,0
1000,faiss_hnsw,0.97,1.0,0.9818,0.257,0.414,0.555,379.7,0
1000,hybrid,0.815,0.995,0.8782,1.455,2.113,2.832,381.1,0
10000,numpy,0.88,0.995,0.9302,3.389,3.649,3.917,433.1,0
10000,faiss_hnsw,0.88,0.995,0.9302,0.832,1.422,1.932,497.2,0
10000,hybrid,0.685,0.985,0.79,15.798,25.817,34.363,493.2,0
100000,numpy,0.545,0.955,0.6868,29.459,33.186,34.841,1102.4,217.6
100000,faiss_hnsw,0.545,0.955,0.6868,0.767,1.204,1.484,1668.3,217.6
100000,hybrid,0.435,0.89,0.5804,191.395,329.868,443.464,1586.3,217.6
300000,numpy,0.385,0.82,0.5184,83.21,88.225,93.655,2011.3,190.2
300000,faiss_hnsw,0.39,0.82,0.5209,1.58,2.915,3.508,4139.0,190.2
300000,hybrid,0.315,0.75,0.4328,610.725,1087.063,1487.07,3893.8,190.2
